Nom du plat,Description du plat,Ingrédients,Allergènes détectés
Boeuf stroganoff,"Oeufs, Pommes de terre, Arachides","Oeufs, Pommes de terre, Arachides","Oeufs, Arachides"
Gâteau au chocolat,"Carottes, Crevettes, Chocolat noir, Oeufs","Carottes, Crevettes, Chocolat noir, Oeufs","Oeufs, Crustacés"
Pâté chinois,"Beurre, Sauce brune, Chocolat noir, Vanille, Noisettes","Beurre, Sauce brune, Chocolat noir, Vanille, Noisettes","Fruits à coque, Gluten, Lait"
Macarons,"Tomates, Beurre, Carottes","Tomates, Beurre, Carottes",Lait
Salade niçoise,"Sauce brune, Poulet, Carottes, Crevettes","Sauce brune, Poulet, Carottes, Crevettes","Gluten, Crustacés"
Éclair au café,"Farine de blé, Poisson, Vanille","Farine de blé, Poisson, Vanille","Gluten, Poisson"
Pain doré,"Moutarde, Noix de cajou, Escargots","Moutarde, Noix de cajou, Escargots","Moutarde, Fruits à coque, Mollusques"
Pot-au-feu,"Sauce soja, Poivrons, Oignons, Sauce brune, Noisettes","Sauce soja, Poivrons, Oignons, Sauce brune, Noisettes","Fruits à coque, Gluten, Soja"
Fèves au lard,"Pain, Vanille, Farine de blé","Pain, Vanille, Farine de blé",Gluten
Raclette,"Arachides, Oeufs, Crème fraîche","Arachides, Oeufs, Crème fraîche","Oeufs, Arachides, Lait"
Chili con carne,"Huile végétale, Lait, Céleri, Boeuf haché, Sauce brune","Huile végétale, Lait, Céleri, Boeuf haché, Sauce brune","Gluten, Lait, Céleri"
Raclette,"Fromage en grains, Sauce brune, Chocolat noir, Vanille, Tomates, Céleri","Fromage en grains, Sauce brune, Chocolat noir, Vanille, Tomates, Céleri","Gluten, Lait, Céleri"
Fondue au fromage,"Champignons, Oignons, Lait, Sauce brune","Champignons, Oignons, Lait, Sauce brune","Gluten, Lait"
Chili con carne,"Pommes de terre, Champignons, Sésame, Boeuf haché, Oeufs, Oignons","Pommes de terre, Champignons, Sésame, Boeuf haché, Oeufs, Oignons","Oeufs, Graines de sésame"
Salade César,"Pommes de terre, Poisson, Arachides","Pommes de terre, Poisson, Arachides","Arachides, Poisson"
Coquilles Saint-Jacques,"Poisson, Farine de blé, Carottes","Poisson, Farine de blé, Carottes","Gluten, Poisson"
Rôti de porc,"Farine de blé, Crevettes, Pommes de terre, Moutarde, Beurre","Farine de blé, Crevettes, Pommes de terre, Moutarde, Beurre","Moutarde, Gluten, Lait, Crustacés"
